Key;Item Type;Publication Year;Author;Title;Journal Name;DOI;Inclusion/Exclusion
RSDSFUDP;journalArticle;2024;"Ibrahim, E.A.; Wamalwa, M.; Odindi, J.; Tonnang, H.E.Z.";Spatio-temporal characterization of phenotypic resistance in malaria vector species;BMC Biology;10.1186/s12915-024-01915-z;QA1
2BPR5E8Q;journalArticle;2025;"Maulana, K.Y.; Na-Lampang, K.; Arjkumpa, O.; Buamithup, N.; Intawong, K.; Punyapornwithaya, V.";Geographical Distribution, Spatial Directional Trends, and Spatio-Temporal Clusters of the First Rapid and Widespread Lumpy Skin Disease Outbreaks in Thailand;Transboundary and Emerging Diseases;10.1155/tbed/4900775;QA2
QVYPQJK4;journalArticle;2025;"Afrifa-Yamoah, E.; Osei, P.M.";Bayesian spatio-temporal modeling of African CO2 emissions (1990–2020): A hierarchical approach to identify determinants, regional trends, and local dynamics;Science of the Total Environment;10.1016/j.scitotenv.2025.178894;QA7
2JBXX4GW;journalArticle;2024;"López-Lacort, M.; Corberán-Vallet, A.; Briz-Redón, Á.; Santonja Gómez, F.J.; Muñoz-Quiles, C.; Orrico-Sánchez, A.";A Bayesian spatio-temporal model for cluster detection: identifying HPV suboptimal vaccine coverage;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-024-02815-y;included
FFER92FP;journalArticle;2024;"Satorra, P.; Tebé, C.";Bayesian spatio-temporal analysis of the COVID-19 pandemic in Catalonia;Scientific Reports;10.1038/s41598-024-53527-w;included
MENKUK4P;journalArticle;2024;"Mota-Bertran, A.; Coenders, G.; Plaja, P.; Saez, M.; Barceló, M.A.";Air pollution and children’s mental health in rural areas: compositional spatio-temporal model;Scientific Reports;10.1038/s41598-024-70024-2;QA6
EJ8KPS6B;journalArticle;2024;"Shi, Y.; Han, Q.; Zhang, S.; Yang, S.; Cheng, T.; Fan, W.; Zhao, G.; Han, H.; Zhang, H.";Seasonal Spatio-Temporal Model Improves Refined Stock Assessment and Management of Japanese Sardine (Sardinops melanostictus) in the Northwest Pacific Ocean;Animals;10.3390/ani14233434;QA7
7QDMQF9Z;journalArticle;2024;"Bofa, A.; Zewotir, T.";Optimizing spatio-temporal correlation structures for modeling food security in Africa: a simulation-based investigation;BMC Bioinformatics;10.1186/s12859-024-05791-w;included
XF6MSHP7;journalArticle;2025;"Siri, P.; Fedrigo, J.K.; Posse, J.P.; Benitez, V.; Hirigoyen, A.; Ingaramo, L.; González Barrios, P.";Spatio-temporal modeling of eucalyptus and pinus intercropping systems: effects of weed control and row distance;Agroforestry Systems;10.1007/s10457-025-01171-2;QA7
2SGY7NNI;journalArticle;2025;"Huang, Y.; Chen, X.; Zhu, L.";Exploring Trade-Offs/Synergies and Drivers of Ecosystem Services in the Dongting Lake Area, China;Sustainability (Switzerland);10.3390/su17041650;QA1
FZSCUYFK;journalArticle;2025;"Tang, R.; Hou, G.; Chen, Y.; Liu, X.; Chu, S.; Li, L.";Spatial and temporal characteristics and driving mechanisms of recreational ecosystem services supply-demand mismatch in rapidly urbanizing areas: Evidence from the Yangtze River Delta;Ecological Indicators;10.1016/j.ecolind.2025.113153;QA1
GUEHYJFS;journalArticle;2024;"Gaichas, S.K.; Gartland, J.; Smith, B.E.; Wood, A.D.; Ng, E.L.; Celestino, M.; Drew, K.; Tyrell, A.S.; Thorson, J.T.";Assessing small pelagic fish trends in space and time using piscivore stomach contents;Canadian Journal of Fisheries and Aquatic Sciences;10.1139/cjfas-2023-0093;QA2
6T3CPLU6;journalArticle;2025;"Liu, Y.; Kjær, L.J.; Boklund, A.E.; Clausen, P.; Nyegaard, T.; Ward, M.P.; Laffan, S.; Kirkeby, C.T.";The role of wild birds in transmitting highly pathogenic avian influenza in Denmark: An exploration using a spatiotemporal model;Ecological Modelling;10.1016/j.ecolmodel.2025.111019;included
5YVLPCCV;journalArticle;2025;"Choi, B.; Hummel, M.A.";Spatiotemporal air quality prediction using stochastic advection-diffusion model for multimodal data fusion;Environmental Research Letters;10.1088/1748-9326/ada397;included
JGCXFTBW;journalArticle;2024;"Alam, N.M.; Mitra, S.; Pandey, S.K.; Jana, C.; Ray, M.; Ghosh, S.; Paul Mazumdar, S.; Shankar, S.V.; Saha, R.; Kar, G.";Enhanced Spatio-Temporal Modeling for Rainfall Forecasting: A High-Resolution Grid Analysis;Water (Switzerland);10.3390/w16131891;QA7
2QE77Q5H;journalArticle;2024;"Yin, X.; Aiken, J.M.; Harris, R.; Bamber, J.L.";A Bayesian spatio-temporal model of COVID-19 spread in England;Scientific Reports;10.1038/s41598-024-60964-0;included
G6WA2ABF;journalArticle;2024;"Kalthoum, S.; Mzoughi, S.; Gharbi, R.; Lachtar, M.; Bel Haj Mohamed, B.; Hajlaoui, H.; Khalfaoui, W.; Dhaouadi, A.; Ben Sliman, I.; Ben Salah, C.; Kessa, H.; Benkirane, H.; Fekih, A.J.; Barrak, K.; Sayari, H.; Bahloul, C.; Porphyre, T.";Factors associated with the spatiotemporal distribution of dog rabies in Tunisia;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0012296;QA2
BBEN7YMG;journalArticle;2024;"Yu, W.; Zhuang, M.; Geng, M.; Hu, K.; Zhao, Q.; Yan, J.";Association between hydrometeorological conditions and infectious diarrhea in mainland China: a spatiotemporal modeling study;Environmental Research Letters;10.1088/1748-9326/ad44b4;QA2
AE5FF6PV;journalArticle;2024;"Deng, L.-L.; Zhao, F.; Li, Z.-W.; Zhang, W.-W.; He, G.-X.; Ren, X.";Epidemiological characteristics of tuberculosis incidence and its macro-influence factors in Chinese mainland during 2014–2021;Infectious Diseases of Poverty;10.1186/s40249-024-01203-6;QA1
KN38ETNI;journalArticle;2024;"Ragbir, P.; Kaduwela, A.; Lan, X.; Watts, A.; Kong, Z.";A Control-Theoretic Spatio-Temporal Model for Wildfire Smoke Propagation Using UAV-Based Air Pollutant Measurements;Drones;10.3390/drones8050169;QA1
KGTSYPIQ;journalArticle;2024;"Soukavong, M.; Thinkhamrop, K.; Pratumchart, K.; Soulaphy, C.; Xangsayarath, P.; Mayxay, M.; Phommachanh, S.; Kelly, M.; Wangdi, K.; Clements, A.C.A.; Suwannatrai, A.T.";Bayesian spatio-temporal analysis of dengue transmission in Lao PDR;Scientific Reports;10.1038/s41598-024-71807-3;QA2
LEBHRZPP;journalArticle;2024;"Bofa, A.; Zewotir, T.";A bayesian spatio-temporal dynamic analysis of food security in Africa;Scientific Reports;10.1038/s41598-024-65989-z;included
MN5KCPFT;journalArticle;2024;"Tam, L.T.; Thinkhamrop, K.; Suttiprapa, S.; Clements, A.C.A.; Wangdi, K.; Suwannatrai, A.T.";Bayesian spatio-temporal modelling of environmental, climatic, and socio-economic influences on malaria in Central Vietnam;Malaria Journal;10.1186/s12936-024-05074-y;included
6I6J78RV;journalArticle;2025;"Shannon, E.S.; Finley, A.O.; Domke, G.M.; May, P.B.; Andersen, H.-E.; Gaines III, G.C.; Banerjee, S.";Toward spatio-temporal models to support national-scale forest carbon monitoring and reporting;Environmental Research Letters;10.1088/1748-9326/ad9e07;QA5
JNSKFERS;journalArticle;2024;"Staeudle, T.M.; Parmentier, B.; Poos, J.J.";Accounting for spatio-temporal distribution changes in size-structured abundance estimates for a data-limited stock of Raja clavata;ICES Journal of Marine Science;10.1093/icesjms/fsae106;included
G7YNMSTD;journalArticle;2024;"Domínguez, A.; Dadvand, P.; Cirach, M.; Arévalo, G.; Barril, L.; Foraster, M.; Gascon, M.; Raimbault, B.; Galmés, T.; Goméz-Herrera, L.; Persavento, C.; Samuelsson, K.; Lao, J.; Moreno, T.; Querol, X.; Jerrett, M.; Schwartz, J.; Tonne, C.; Nieuwenhuijsen, M.J.; Sunyer, J.; Basagaña, X.; Rivas, I.";Development of land use regression, dispersion, and hybrid models for prediction of outdoor air pollution exposure in Barcelona;Science of the Total Environment;10.1016/j.scitotenv.2024.176632;QA2
2DDAHSKH;journalArticle;2024;"Bo, Y.; Lin, C.; Guo, C.; Wong, M.; Huang, B.; Lau, A.; Huang, Y.; Lao, X.Q.";Chronic exposure to ambient air pollution and the risk of non-alcoholic fatty liver disease: A cross-sectional study in Taiwan and Hong Kong;Ecotoxicology and Environmental Safety;10.1016/j.ecoenv.2024.116245;QA2
Q6FGGQQ2;journalArticle;2025;"Wang, K.; Zhang, Y.; Bai, L.; Chen, Y.; Ling, C.";Spatio-temporal modelling of extreme low birth rates in U.S. counties;BMC Public Health;10.1186/s12889-025-21686-8;included
7BF2YY7R;journalArticle;2024;"Pirani, M.; Lorenz, C.; de Azevedo, T.S.; Barbosa, G.L.; Blangiardo, M.; Chiaravalloti-Neto, F.";Effects of the El Niño-Southern Oscillation and seasonal weather conditions on Aedes aegypti infestation in the State of São Paulo (Brazil): A Bayesian spatio-temporal study;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0012397;included
7F3GVSEH;journalArticle;2024;"Braga, A.; Laurini, M.";Spatial heterogeneity in climate change effects across Brazilian biomes;Scientific Reports;10.1038/s41598-024-67244-x;QA5
LKUYTQ53;journalArticle;2024;"Petrof, O.; Neyens, T.; Vaes, B.; Janssens, A.; Faes, C.";Using a general practice research database to assess the spatio-temporal COVID-19 risk;BMC Primary Care;10.1186/s12875-024-02423-3;included
X3CTBXBU;journalArticle;2025;"Sultana, A.; Ali, A.M.; Ar Salan, S.; Kabir, M.A.; Hossain, M.M.";Modeling spatial and temporal variability in educational development index of Bangladesh using socio-economic, and demographic data, 2001–2021: A Bayesian approach;PLoS ONE;10.1371/journal.pone.0317030;QA7
TWRPUCXL;journalArticle;2024;"Zhang, S.; Amratia, P.; Symons, T.L.; Rumisha, S.F.; Kang, S.Y.; Connell, M.; Uusiku, P.; Katokele, S.; Hamunyela, J.; Ntusi, N.; Soroses, W.; Moyo, E.; Lukubwe, O.; Maponga, C.; Lucero, D.; Gething, P.W.; Cameron, E.";High-resolution spatio-temporal risk mapping for malaria in Namibia: a comprehensive analysis;Malaria Journal;10.1186/s12936-024-05103-w;included
ZHHLH789;journalArticle;2024;"Sando, K.; Wada, R.; Rohmer, J.; Jonathan, P.";Multivariate spatial and spatio-temporal models for extreme tropical cyclone seas;Ocean Engineering;10.1016/j.oceaneng.2024.118365;included
JKVDWHU4;journalArticle;2024;"Breivik, O.N.; Zimmermann, F.; Johannesen, E.; Ono, K.; Fall, J.; Howell, D.; Nielsen, A.";Incorporation of observation uncertainty in stock assessment using spatio-temporal modeling of catch-at-length and age-at-length survey data;ICES Journal of Marine Science;10.1093/icesjms/fsae079;QA7
AQCUVX9T;journalArticle;2024;Briz-Redón, Á.;A Bayesian Aoristic Logistic Regression to Model Spatio-Temporal Crime Risk Under the Presence of Interval-Censored Event Times;Journal of Quantitative Criminology;10.1007/s10940-023-09580-1;included
9VPDG4MG;journalArticle;2024;"Barceló, M.A.; Perafita, X.; Saez, M.";Spatiotemporal variability in socioeconomic inequalities in COVID-19 vaccination in Catalonia, Spain;Public Health;10.1016/j.puhe.2023.11.024;included
A4SPQTMQ;journalArticle;2024;"Ishii, K.; Ono, S.; Masago, T.; Ishizuki, M.; Mori, T.; Hanatsuka, Y.";Fine-Scaled Predictive Modeling of Road Surface Conditions and Temperature in Urban Areas;IEEE Transactions on Intelligent Transportation Systems;10.1109/TITS.2024.3433004;QA1
KF9LC696;journalArticle;2023;"Kosarevych, R.; Jonek-Kowalska, I.; Rusyn, B.; Sachenko, A.; Lutsyk, O.";Analysing Pine Disease Spread Using Random Point Process by Remote Sensing of a Forest Stand;Remote Sensing;10.3390/rs15163941;QA2
WEETS7EQ;journalArticle;2024;"Chen, B.; Chen, Z.; Liu, X.C.; Yi, Z.";Bayesian inference-based spatiotemporal modeling with interim activities for EV charging etiquette;Transportation Research Part D: Transport and Environment;10.1016/j.trd.2024.104060;included
HIJHLTV2;journalArticle;2023;"Herraiz, C.; Vicente, J.; Gortázar, C.; Acevedo, P.";Large scale spatio-temporal modelling of risk factors associated with tuberculosis exposure at the wildlife-livestock interface;Preventive Veterinary Medicine;10.1016/j.prevetmed.2023.106049;QA2
WBZPFNJR;journalArticle;2023;"Lindmark, M.; Anderson, S.C.; Gogina, M.; Casini, M.";Evaluating drivers of spatiotemporal variability in individual condition of a bottom-associated marine fish, Atlantic cod (Gadus morhua);ICES Journal of Marine Science;10.1093/icesjms/fsad084;included
MIK2ELSS;journalArticle;2024;"Foo, Y.; Flegg, J.A.";A spatio-temporal model of multi-marker antimalarial resistance;Journal of the Royal Society Interface;10.1098/rsif.2023.0570;QA6
7EMP88LY;journalArticle;2024;"Pasanen, T.-M.; Helske, J.; Högmander, H.; Ketola, T.";Spatio-temporal modeling of co-dynamics of smallpox, measles, and pertussis in pre-healthcare Finland;PeerJ;10.7717/peerj.18155;included
YAQH55KB;journalArticle;2023;"Olmos, M.; Ianelli, J.; Ciannelli, L.; Spies, I.; McGilliard, C.R.; Thorson, J.T.";Estimating climate-driven phenology shifts and survey availability using fishery-dependent data;Progress in Oceanography;10.1016/j.pocean.2023.103035;included
8L645MQB;journalArticle;2024;Barazzetti, L.;Spatio-temporal analysis of georeferenced time-series applied to structural monitoring;Journal of Civil Structural Health Monitoring;10.1007/s13349-023-00743-z;QA1
K56CSRR6;journalArticle;2023;"Gayawan, E.; Somo-Aina, O.; Kuti, O.";Analysis of the space-time trends in open defecation in Nigeria;Environmental Science and Pollution Research;10.1007/s11356-023-26161-8;QA6
YHWEESYJ;journalArticle;2023;"Modethed, W.; Singhla, T.; Boonsri, K.; Pringproa, K.; Sthitmatee, N.; Vinitchaikul, P.; Sansamur, C.; Kreausukon, K.; Punyapornwithaya, V.";Identifying the patterns and sizes of the first lumpy skin disease outbreak clusters in Northern Thailand with a high degree of dairy farm aggregation using spatio-temporal models;PLoS ONE;10.1371/journal.pone.0291692;QA2
FLFJPDJR;journalArticle;2023;"McDonald, R.R.; Keith, D.M.; Sameoto, J.A.; Mills Flemming, J.";Integrating habitat features into spatio-temporal biomass dynamics models for a better understanding of stock productivity: a case study of sea scallop in the Bay of Fundy;ICES Journal of Marine Science;10.1093/icesjms/fsad103;included
RNAT2SXX;journalArticle;2023;"Katale, R.N.; Gemechu, D.B.";Spatio-temporal analysis of malaria incidence and its risk factors in North Namibia;Malaria Journal;10.1186/s12936-023-04577-4;QA2
EGSCNH5F;journalArticle;2023;"Semakula, M.; Niragire, F.; Nsanzimana, S.; Remera, E.; Faes, C.";Spatio-temporal dynamic of the COVID-19 epidemic and the impact of imported cases in Rwanda;BMC Public Health;10.1186/s12889-023-15888-1;QA7
MPJFJE96;journalArticle;2023;"Shirzad, R.; Alesheikh, A.A.; Asgharzadeh, M.; Hoseini, B.; Lotfata, A.";Spatio-temporal modeling of human leptospirosis prevalence using the maximum entropy model;BMC Public Health;10.1186/s12889-023-17391-z;QA1
R9D4VY2W;journalArticle;2023;"García, J.A.; Acero, F.J.; Portero, J.";A Bayesian hierarchical spatio-temporal model for extreme temperatures in Extremadura (Spain) simulated by a Regional Climate Model;Climate Dynamics;10.1007/s00382-022-06638-x;included
MKR8JZGR;journalArticle;2023;"Valente, F.; Laurini, M.";A spatio-temporal analysis of fire occurrence patterns in the Brazilian Amazon;Scientific Reports;10.1038/s41598-023-39875-z;QA6
5FTKNL2V;journalArticle;2023;"Ma, S.; Yu, K.; Tang, M.-L.; Pan, J.; Härdle, W.K.; Tian, M.";A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection;Statistics in Medicine;10.1002/sim.9889;included
S4LFWE89;journalArticle;2023;"Wang, H.; Molina, J.-M.; Dray-Spira, R.; Schmidt, A.J.; Hickson, F.; van de Vijver, D.; Jonas, K.J.";Spatio-temporal changes in pre-exposure prophylaxis uptake among MSM in mainland France between 2016 and 2021: a Bayesian small area approach with MSM population estimation;Journal of the International AIDS Society;10.1002/jia2.26089;QA2
L7JP6GUA;journalArticle;2023;Jankiewicz, M.;Regional economic growth and unemployment in the European Union – a spatio-temporal analysis at the NUTS-2 level (2013–2019);Hungarian Geographical Bulletin;10.15201/hungeobull.72.2.6;QA2
3MIPWB5W;journalArticle;2023;"Nguyen, M.H.; Nguyen, T.H.T.; Molenberghs, G.; Abrams, S.; Hens, N.; Faes, C.";The impact of national and international travel on spatio-temporal transmission of SARS-CoV-2 in Belgium in 2021;BMC Infectious Diseases;10.1186/s12879-023-08368-9;included
BX5IIIZX;journalArticle;2023;"Dabral, A.; Shankhwar, R.; Martins-Ferreira, M.A.C.; Pandey, S.; Kant, R.; Meena, R.K.; Chandra, G.; Ginwal, H.S.; Thakur, P.K.; Bhandari, M.S.; Sahu, N.; Nayak, S.";Phenotypic, Geological, and Climatic Spatio-Temporal Analyses of an Exotic Grevillea robusta in the Northwestern Himalayas;Sustainability (Switzerland);10.3390/su151612292;QA1
34QKL9AS;journalArticle;2023;"Teixeira, P.C.; Ordens, C.M.; McIntyre, N.; Pagliero, L.; Crosbie, R.";Spatio-temporal distribution of atmospheric chloride deposition over a small island;Hydrological Processes;10.1002/hyp.15052;QA2
DDZ3SJ96;journalArticle;2023;"Han, Q.; Shan, X.; Jin, X.; Gorfine, H.";Overcoming gaps in a seasonal time series of Japanese anchovy abundance to analyse interannual trends;Ecological Indicators;10.1016/j.ecolind.2023.110189;QA6
FCVQ54FD;journalArticle;2023;"Palma, M.; Maggio, S.; Cappello, C.; Congedi, A.; De Iaco, S.";Spatio-temporal modeling of groundwater quality deterioration and resource depletion;Hydrogeology Journal;10.1007/s10040-023-02692-9;QA7
RN4MBHYB;journalArticle;2023;"Grüss, A.; Charsley, A.R.; Thorson, J.T.; Anderson, O.F.; O'Driscoll, R.L.; Wood, B.; Breivik, O.N.; O'Leary, C.A.";Integrating survey and observer data improves the predictions of New Zealand spatio-temporal models;ICES Journal of Marine Science;10.1093/icesjms/fsad129;included
Z9EBWDQ5;journalArticle;2023;"Orozco-Acosta, E.; Riebler, A.; Adin, A.; Ugarte, M.D.";A scalable approach for short-term disease forecasting in high spatial resolution areal data;Biometrical Journal;10.1002/bimj.202300096;included
KSMK9EUU;journalArticle;2023;"Hosseini-Shokouh, S.-M.; Ghanei, M.; Mousavi, B.; Bagheri, H.; Bahadori, M.; Meskarpour-Amiri, M.; Mehdizadeh, P.";Social disparities and inequalities in healthcare access and expenditures among Iranians exposed to sulfur mustard: a national study using spatio-temporal analysis;BMC Health Services Research;10.1186/s12913-023-10352-7;QA2
SVS76255;journalArticle;2023;"Liu, X.; Sun, Y.; Yin, Y.; Dai, X.; Bergquist, R.; Gao, F.; Liu, R.; Liu, J.; Wang, F.; Lv, X.; Zhang, Z.";Influence of urbanization on schistosomiasis infection risk in Anhui Province based on sixteen year's longitudinal surveillance data: a spatio-temporal modelling study;Infectious Diseases of Poverty;10.1186/s40249-023-01163-3;included
3UJWSGHY;journalArticle;2023;"Espinasse, M.; Mikkelsen, E.; Sørbye, S.H.; Skern-Mauritzen, M.; Falk-Andersson, J.; Fauchald, P.";Seafood production in Northern Norway: Analyzing variation and co-development in aquaculture and coastal fisheries;Marine Policy;10.1016/j.marpol.2023.105777;QA2
